,Centre Name,Store Name
0,Newtownabbey - Abbey Centre,Argento
1,Newtownabbey - Abbey Centre,Argos
2,Newtownabbey - Abbey Centre,AXA
3,Newtownabbey - Abbey Centre,Bonmarche
4,Newtownabbey - Abbey Centre,Boots
5,Newtownabbey - Abbey Centre,Boots Opticians
6,Newtownabbey - Abbey Centre,Burger King
7,Newtownabbey - Abbey Centre,Caffe Nero
8,Newtownabbey - Abbey Centre,Card Factory
9,Newtownabbey - Abbey Centre,CEX
10,Newtownabbey - Abbey Centre,City Blinds
11,Newtownabbey - Abbey Centre,Claire’s
12,Newtownabbey - Abbey Centre,Clarks
13,Newtownabbey - Abbey Centre,Clear Pharmacy
14,Newtownabbey - Abbey Centre,Costa Coffee
15,Newtownabbey - Abbey Centre,Danske Bank
16,Newtownabbey - Abbey Centre,De Borja
17,Newtownabbey - Abbey Centre,Deli Bean
18,Newtownabbey - Abbey Centre,Dunnes Stores
19,Newtownabbey - Abbey Centre,DV8
20,Newtownabbey - Abbey Centre,EE
21,Newtownabbey - Abbey Centre,Ernest Jones
22,Newtownabbey - Abbey Centre,eurochange
23,Newtownabbey - Abbey Centre,GAME
24,Newtownabbey - Abbey Centre,Ground Espresso Bar
25,Newtownabbey - Abbey Centre,H.Samuel
26,Newtownabbey - Abbey Centre,Halifax
27,Newtownabbey - Abbey Centre,Hays Travel
28,Newtownabbey - Abbey Centre,Holland & Barrett
29,Newtownabbey - Abbey Centre,Jack & Jones
30,Newtownabbey - Abbey Centre,Jays Brow Bar
31,Newtownabbey - Abbey Centre,JD
32,Newtownabbey - Abbey Centre,KFC
33,Newtownabbey - Abbey Centre,McDonald’s
34,Newtownabbey - Abbey Centre,Nando’s
35,Newtownabbey - Abbey Centre,New Look
36,Newtownabbey - Abbey Centre,Next
37,Newtownabbey - Abbey Centre,O2
38,Newtownabbey - Abbey Centre,Pandora
39,Newtownabbey - Abbey Centre,Pavers
40,Newtownabbey - Abbey Centre,PEP&CO
41,Newtownabbey - Abbey Centre,Peter Mark
42,Newtownabbey - Abbey Centre,Poundland
43,Newtownabbey - Abbey Centre,Primark
44,Newtownabbey - Abbey Centre,Quiz
45,Newtownabbey - Abbey Centre,Refill Station
46,Newtownabbey - Abbey Centre,River Island
47,Newtownabbey - Abbey Centre,Sally
48,Newtownabbey - Abbey Centre,SCOOP
49,Newtownabbey - Abbey Centre,Shoe Zone
50,Newtownabbey - Abbey Centre,Skechers
51,Newtownabbey - Abbey Centre,Sky
52,Newtownabbey - Abbey Centre,Specsavers
53,Newtownabbey - Abbey Centre,Superdrug
54,Newtownabbey - Abbey Centre,Synge & Byrne Deli
55,Newtownabbey - Abbey Centre,Synge and Byrne
56,Newtownabbey - Abbey Centre,The Perfume Shop
57,Newtownabbey - Abbey Centre,The Works
58,Newtownabbey - Abbey Centre,Three UK
59,Newtownabbey - Abbey Centre,Timpson
60,Newtownabbey - Abbey Centre,Trespass
61,Newtownabbey - Abbey Centre,Uberfone
62,Newtownabbey - Abbey Centre,Vapourette
63,Newtownabbey - Abbey Centre,Vision Express
64,Newtownabbey - Abbey Centre,Vodafone
65,Newtownabbey - Abbey Centre,Vogue
66,Newtownabbey - Abbey Centre,Warren James
67,Newtownabbey - Abbey Centre,Whitehouse Medical Centre
68,Newtownabbey - Abbey Centre,Yangtze
69,Newtownabbey - Abbey Centre,Yankee Store
